Dimensions_ID,Width,Length,Height,Wheelbase,Curb_weight_kg,Clearance
-4034015162188228741,1902.0,5120.0,1467.0,3070.0,1915.0,135.0
-2165690103578566632,1902.0,5120.0,1467.0,3070.0,1955.0,152.0
6485614541646271678,1860.0,4900.0,1465.0,2840.0,1535.0,155.0
-8951233364890904353,1860.0,4900.0,1465.0,2840.0,1484.0,155.0
8426501213630544794,1729.0,4405.0,1469.0,2600.0,1198.0,160.0
-8358543546076986438,1729.0,4405.0,1469.0,2600.0,1160.0,160.0
-2659633254830345945,1891.0,4708.0,1676.0,2864.0,1715.0,204.0
3315879427761690544,1891.0,4708.0,1676.0,2864.0,1895.0,204.0
4751021163408920493,1891.0,4708.0,1676.0,2864.0,1750.0,204.0
2441040017004935876,1891.0,4708.0,1676.0,2864.0,1820.0,204.0
-5985833485769666251,2004.0,4922.0,1745.0,2975.0,2145.0,214.0
-47045097134123270,2004.0,4922.0,1745.0,2975.0,2060.0,214.0
-7665912706201109987,2004.0,4922.0,1745.0,2975.0,2110.0,214.0
-6010877507638731364,2004.0,4922.0,1745.0,2975.0,2275.0,214.0
4514997866679208759,2004.0,4922.0,1745.0,2975.0,2200.0,214.0
-456639901579389041,1824.0,4360.0,1526.0,2760.0,1415.0,182.0
6769018487328979116,1824.0,4360.0,1526.0,2760.0,1661.0,182.0
6299924292272497619,1824.0,4360.0,1526.0,2760.0,1460.0,182.0
6034647495904366351,1824.0,4360.0,1526.0,2760.0,1600.0,182.0
688181015830644527,1824.0,4360.0,1526.0,2760.0,1540.0,182.0
-5149115401930784450,1827.0,4709.0,1442.0,2851.0,1490.0,136.0
3569477689594150152,1827.0,4709.0,1442.0,2851.0,1540.0,135.0
-6829194622362228186,1827.0,4709.0,1442.0,2851.0,1455.0,136.0
6307807265230095114,1827.0,4709.0,1442.0,2851.0,1660.0,136.0
-3997990178679493067,1827.0,4709.0,1442.0,2851.0,1571.7172606568836,0.0
5678761062711780449,1827.0,4709.0,1442.0,2851.0,1540.0,136.0
-1024905607933538104,1945.0,5302.0,1485.0,3128.0,2020.0,0.0
-9216611537432654713,1945.0,5302.0,1485.0,3128.0,2120.0,0.0
7685509188384181269,1800.0,4526.0,1420.0,2670.0,1375.0,152.0
-5569775164769238423,1970.0,5066.0,1743.0,2996.0,2375.0,0.0
-615070142658671453,1932.0,5082.0,1407.0,3023.0,1925.0,128.0
-2925051289062656070,1932.0,5082.0,1407.0,3023.0,1995.0,128.0
8740940292380169989,1932.0,5082.0,1407.0,3023.0,1855.0,128.0
1797988289296099309,1900.0,4750.0,1910.0,2760.0,2125.0,210.0
3111005993138257511,1900.0,4750.0,1910.0,2760.0,2158.0,210.0
-62983157808460456,1956.0,5243.0,1836.0,3135.0,2555.0,204.0
-2405407212850499317,2019.0,4941.0,1692.0,2972.0,2295.0,213.0
-3838431376482660343,2032.0,4803.0,1665.0,2874.0,1829.0,213.0
6114605677403149888,2032.0,4803.0,1665.0,2874.0,1804.0,213.0
1648787000071598277,2032.0,4803.0,1665.0,2874.0,1841.0,213.0
502862400961296796,2032.0,4803.0,1665.0,2874.0,1884.0,213.0
-7215470920848633810,2032.0,4803.0,1665.0,2874.0,2160.0,205.0
5442124634584138635,1850.0,4480.0,1655.0,2670.0,1534.0,182.0
-5121578715390562909,1850.0,4480.0,1655.0,2670.0,1512.0,182.0
-7253227947903291006,1850.0,4480.0,1655.0,2670.0,1574.0,182.0
2815233503445596015,1850.0,4480.0,1655.0,2670.0,1693.0,182.0
992029878210498919,1904.0,4371.0,1649.0,2681.0,1891.0,212.0
-2055694264618638087,1904.0,4371.0,1649.0,2681.0,1845.0,212.0
-8865814578584089154,1775.0,4175.0,1610.0,2500.0,1120.0,185.0
